track_uri,artist_uri,dan,ene,aco,val,artist_genres
spotify:track:1h3ODYcDJly0H53W2Ai42Q,spotify:artist:5CXdWANGwYYRPClH6hhC0P,0.935,0.259,0.378,0.931,pov: indie
spotify:track:1cFOxSwrXWZQimUzqxdCIc,spotify:artist:7wzwxQl0EpBZ7dOsMRpU4t,0.502,0.744,0.627,0.905,
spotify:track:6QFQqqYye5lAcnhCALvxKJ,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,0.78,0.748,0.00448,0.0663,"cloud rap,dark trap,new orleans rap,underground hip hop"
spotify:track:5VEJTPV0bLC65pIX05hDz0,spotify:artist:5ateiANu0kdneI8KE3OWI9,0.548,0.621,0.00499,0.513,
spotify:track:3UV3uZk9VEk1rorr0obePr,spotify:artist:5iO99RO9AmhAr4rLgjZ1nn,0.375,0.92,0.0000125,0.302,
spotify:track:7e0LOBvgnz3Rnu20gUKOeh,spotify:artist:4iMO20EPodreIaEl8qW66y,0.666,0.669,0.241,0.818,"bedroom pop,oakland indie,pov: indie"
spotify:track:0wFarTaQ43vjM0HBd0TZ9W,spotify:artist:68uS7D9Jp3BsuUEOOqQ9oP,0.417,0.759,0.000236,0.134,
spotify:track:0X4mG6OT2ifuZBNp18ZXoR,spotify:artist:72DZN1oPqwdYebg7mauJ9P,0.627,0.689,0.0189,0.643,
spotify:track:5D7AFGloFpXtdT2PiKTEC3,"spotify:artist:2qnpHrOzdmOo1S4ox3j17x, spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:6LEeAFiJF8OuPx747e1wxR",0.606,0.583,0.00633,0.807,"hardcore punk,modern melodic hardcore,canadian modern jazz,indie soul,alternative r&b,art pop,escape room,indie soul,indietronica,metropopolis"
spotify:track:3hZIvVYZWsuFpdWdXQFgKx,spotify:artist:2n2RSaZqBuUUukhbLlpnE6,0.576,0.582,0.109,0.392,prog metal
spotify:track:4nK5YrxbMGZstTLbvj6Gxw,"spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4, spotify:artist:6sHCvZe1PHrOAuYlwTLNH4",0.863,0.63,0.304,0.816,"alt z,nz pop,bedroom pop,indie poptimism,pov: indie"
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,spotify:artist:7GlBOeep6PqTfFi59PTUUN,0.7,0.582,0.0502,0.785,"indie pop,pov: indie"
spotify:track:7fzHQizxTqy8wTXwlrgPQQ,spotify:artist:1WaFQSHVGZQJTbf0BdxdNo,0.849,0.699,0.0982,0.927,chill abstract hip hop
spotify:track:1Uifdytv882RtTn6Gr4xAA,spotify:artist:2n2RSaZqBuUUukhbLlpnE6,0.18,0.73,0.0112,0.169,prog metal
spotify:track:0S38Oso3I9vpDXcTb7kYt9,spotify:artist:2n2RSaZqBuUUukhbLlpnE6,0.395,0.701,0.00148,0.148,prog metal
spotify:track:0ruqsDjNOH5eOjCg9v3bPP,spotify:artist:2tG1KedaZq44kIDHJA5hy4,0.933,0.278,0.393,0.905,
spotify:track:0nifVdzF4R6WT2qITFJKeu,spotify:artist:1WaFQSHVGZQJTbf0BdxdNo,0.733,0.508,0.298,0.333,chill abstract hip hop
spotify:track:6lnj2C5klBBh9lrtOAJnV0,spotify:artist:2tdQ97EH4slBa4xawJS0GR,0.858,0.801,0.00533,0.903,
spotify:track:0rpqWuNaBE7lqcITyWx84y,spotify:artist:2tdQ97EH4slBa4xawJS0GR,0.82,0.531,0.0401,0.527,
spotify:track:38UYeBLfvpnDSG9GznZdnL,"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:4q3ewBCX7sLwd24euuV69X",0.644,0.771,0.464,0.316,"alternative hip hop,modern rock,rock,reggaeton,trap latino,urbano latino"
spotify:track:4J3I4jpAtNjsclcs99jzeF,"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:4frXpPxQQZwbCu3eTGnZEw",0.741,0.913,0.00343,0.643,"alternative hip hop,modern rock,rock,afrofuturism,escape room,indie soul"
spotify:track:36MGfjOTOwx1udRX5dDnoJ,"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:7crPfGd2k81ekOoSqQKWWz",0.633,0.946,0.000272,0.356,"alternative hip hop,modern rock,rock,heartland rock"
spotify:track:0ZGWe02EtMpw40QAzOVZD1,"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:1z2GIqUV62qrl1J5sXalOT",0.659,0.901,0.0614,0.776,"alternative hip hop,modern rock,rock"
spotify:track:3thCp5S3lfRDikpfhXsuil,spotify:artist:1q4hWErLtwYQIca9js6NgP,0.207,0.729,0.000105,0.186,depressive black metal
spotify:track:2ng9pJznvGiuQ86OwWZ8Qa,spotify:artist:6PzFRXjgGHQw6K4WeERMK1,0.591,0.796,0.0124,0.486,synthwave
spotify:track:2lJY1evsKAxRecNp5zfPQv,spotify:artist:0jeqCyxNueRWyFdlpEstNC,0.584,0.571,0.605,0.0393,chillsynth
spotify:track:6MvuLjhCLJYqeV2pgZb5Mo,spotify:artist:5iiqhuffUTPEOjAUDj19IW,0.561,0.387,0.811,0.311,
spotify:track:59G3grjIzfca3Fa6nqNqwS,spotify:artist:4Px3YntOJS8Ba8uxa0ppIj,0.409,0.535,0.854,0.501,
spotify:track:1r8gOAjsIgnFcWNFaCB7Hs,spotify:artist:30FSt2pU5HJSeyQMXxC2AA,0.693,0.136,0.853,0.917,
spotify:track:1pIhZJqAXCdDZ9hzIMQDlc,spotify:artist:28Uv1faP5J3s97NkhCyKWU,0.503,0.229,0.521,0.599,
spotify:track:0AZTpwagcDe4nH0mPcnYhS,spotify:artist:43cM1JWUzdfkZCi7rjkPnz,0.835,0.546,0.599,0.542,deep new americana
